user_sn,Group,total_actions,unique_videos,actions_per_video,Cluster,Cluster_Label,PC1,PC2
170651,Group 1 (Initial),629.0,36.0,17.47222222222222,0,Medium (中活躍),1.397863462450566,1.3634201343208967
60826,Group 1 (Initial),628.0,8.0,78.5,1,Low (低活躍),1.945051964131182,-0.75129953467558
70353,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
230014,Group 1 (Initial),299.0,27.0,11.074074074074074,0,Medium (中活躍),0.6353575492909928,0.9119398931667938
75161,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
14640,Group 1 (Initial),396.0,48.0,8.25,0,Medium (中活躍),1.070877789285901,2.170909540327149
178025,Group 1 (Initial),96.0,7.0,13.714285714285714,1,Low (低活躍),0.0461337925557662,-0.2744316335500195
75076,Group 1 (Initial),783.0,17.0,46.05882352941177,0,Medium (中活躍),1.8044819396413796,0.005736539239687
75860,Group 1 (Initial),0.0,0.0,0.0,1,Low (低活躍),-0.4360896121782192,-0.5790525785755595
252091,Group 1 (Initial),307.0,39.0,7.871794871794871,0,Medium (中活躍),0.7840752582680615,1.648320102112368
116465,Group 1 (Initial),567.0,57.0,9.947368421052632,0,Medium (中活躍),1.507741735607229,2.674675435963897
51708,Group 1 (Initial),703.0,35.0,20.085714285714285,0,Medium (中活躍),1.5406434642960811,1.2764766520588442
241854,Group 1 (Initial),462.0,28.0,16.5,0,Medium (中活躍),0.9946744782439698,0.9133411804729876
172421,Group 1 (Initial),203.0,24.0,8.458333333333334,0,Medium (中活躍),0.395350609983684,0.7634502576240999
115966,Group 1 (Initial),217.0,21.0,10.333333333333334,1,Low (低活躍),0.4006700011225149,0.5696633641739778
242339,Group 1 (Initial),15.0,4.0,3.75,1,Low (低活躍),-0.2892170547851145,-0.370451282622061
25068,Group 1 (Initial),1741.0,25.0,69.64,0,Medium (中活躍),3.815122723256705,0.2014243098205352
87061,Group 1 (Initial),546.0,13.0,42.0,1,Low (低活躍),1.3041297631996196,-0.1759383170887523
80905,Group 1 (Initial),293.0,17.0,17.235294117647058,1,Low (低活躍),0.5689793036167902,0.2724858362701335
116516,Group 1 (Initial),214.0,16.0,13.375,1,Low (低活躍),0.3668508245307312,0.2502232255386099
124649,Group 1 (Initial),9.0,2.0,4.5,1,Low (低活躍),-0.3178295690944436,-0.4942564723714273
51872,Group 1 (Initial),471.0,30.0,15.7,0,Medium (中活躍),1.0271872894946643,1.0371815858655544
229604,Group 1 (Initial),16.0,2.0,8.0,1,Low (低活躍),-0.2502158280935892,-0.5208177394048727
228685,Group 1 (Initial),5.0,1.0,5.0,1,Low (低活躍),-0.3316832302392644,-0.5569688810917207
